timestamp,open,close,high,low,volume
1634072400000,55374.93,56040.81,56059.96,55103.02,574446.6163871
1634076000000,56071.42,56387.7,56408.59,56040.81,419239.98723965
1634079600000,56407.41,56008.43,56527.2,55946.16,413234.08540976
1634083200000,55994.38,56458.31,56553.1,55857.59,552731.15552104
1634086800000,56485.18,56287.28,56603.29,56118.4,737072.54088204
1634090400000,56298.96,56416.63,56442.58,56223.0,550121.39350411
1634094000000,56439.39,56263.61,56454.54,56250.68,149777.20113716
1634097600000,56266.31,56061.8,56367.72,56040.81,349609.11796182
1634101200000,56094.98,55002.52,56211.64,54977.27,1077489.40545405
1634104800000,54974.32,55371.28,55547.18,54710.2,943405.69575362
1634108400000,55344.44,54617.8,55444.22,54577.99,637190.82657751
1634112000000,54625.34,54608.32,55285.71,54467.86,1798415.81672929
1634115600000,54604.74,54888.8,54928.87,54243.01,714496.07189521
1634119200000,54883.27,54649.05,55135.8,54408.16,397215.57511503
1634122800000,54644.19,55194.86,55221.69,54500.0,535366.62816724
1634126400000,55224.48,55067.47,55341.43,54839.11,602803.91089038
1634130000000,55033.07,54878.81,55234.22,54808.45,424909.24726662
1634133600000,54856.67,55789.13,55890.34,54516.7,1325876.64002817
1634137200000,55815.97,56149.65,56429.83,55815.97,745094.93578246
1634140800000,56154.79,56972.92,57089.15,56090.16,1351372.1995503
1634144400000,56979.21,56876.18,57238.31,56772.9,879085.6891851301
1634148000000,56891.42,56973.9,57180.62,56685.79,771089.75791455
1634151600000,57037.65,57256.77,57290.4,56957.67,403129.74638136
1634155200000,57290.76,56997.58,57515.29,56636.29,1933885.05927849
1634158800000,56997.58,57543.86,57721.01,56929.51,758946.14635121
1634162400000,57593.23,57364.64,57767.57,57334.44,275865.90701784997
1634166000000,57419.23,57381.02,57451.75,57195.02,613267.58976558
1634169600000,57374.38,57732.79,57732.79,57150.0,675580.6697048
1634173200000,57712.93,58287.09,58458.53,57637.11,2388652.18935874
1634176800000,58317.2,58215.03,58522.72,58081.45,1172760.30432424
1634180400000,58245.47,58076.67,58250.13,58030.13,338414.66702453
1634184000000,58078.06,57997.09,58169.95,57697.41,327227.39827926
1634187600000,58000.0,57986.74,58116.04,57798.59,187238.99931123
1634191200000,57970.12,57639.65,58074.87,57495.41,853995.21477553
1634194800000,57671.1,57390.64,57785.3,57338.19,294782.5241619
1634198400000,57378.8,57457.88,57695.35,57378.8,193846.82051175
1634202000000,57444.0,57466.04,57706.08,57215.14,371944.21601325
1634205600000,57373.8,57652.66,57794.78,57255.83,415706.46575294
1634209200000,57652.66,57572.77,58156.31,57562.87,538085.85356467
1634212800000,57575.65,57545.9,57886.72,57410.04,628063.2935771
1634216400000,57581.84,57374.23,57728.3,57309.4,613618.34844149
1634220000000,57387.21,57399.18,57631.33,57250.02,487835.7211552
